Week,Channel,Spend,Clicks,Impressions
2025-01-05,Google Ads,752.7728448113342,445,8010
2025-01-05,Meta Ads,1745.4645645856665,325,4225
2025-01-05,Email,1465.4269461538688,165,1650
2025-01-05,Organic Search,1845.6942669770895,263,4471
2025-01-12,Google Ads,1485.1980104436282,485,11640
2025-01-12,Meta Ads,2111.051827152114,293,6446
2025-01-12,Email,2111.957801735168,200,4200
2025-01-12,Organic Search,831.8020487415724,458,7786
2025-01-19,Google Ads,1225.507200798304,209,4807
2025-01-19,Meta Ads,2179.6407044069765,315,7245
2025-01-19,Email,2100.4126953671584,413,8673
2025-01-19,Organic Search,801.3749740016676,135,2970
2025-01-26,Google Ads,1086.7068428820198,305,7320
2025-01-26,Meta Ads,1895.66557101034,455,7735
2025-01-26,Email,2084.3823896033523,263,3419
2025-01-26,Organic Search,2391.8492880641734,294,4704
2025-02-02,Google Ads,502.2241883923748,222,4440
2025-02-02,Meta Ads,2348.5741415893226,248,4216
2025-02-02,Email,755.5493055799809,330,7920
2025-02-02,Organic Search,584.9398185130663,495,4950
2025-02-09,Google Ads,1830.1119780132622,241,5302
2025-02-09,Meta Ads,1185.4618508558142,387,9288
2025-02-09,Email,688.837795320962,268,4020
2025-02-09,Organic Search,2336.795084163116,197,2758
2025-02-16,Google Ads,706.8682297209667,471,7536
2025-02-16,Meta Ads,1957.8784002103143,478,10994
2025-02-16,Email,736.4372445821772,452,6328
2025-02-16,Organic Search,1924.27409176121,372,7812
2025-02-23,Google Ads,1008.9626632365205,289,4624
2025-02-23,Meta Ads,2130.55266218112,496,9920
2025-02-23,Email,2147.212841596379,232,4176
2025-02-23,Organic Search,1606.223942116743,194,2910
2025-03-02,Google Ads,1832.535722958077,424,8904
2025-03-02,Meta Ads,951.4554476782548,171,2736
2025-03-02,Email,1460.0947546201712,442,8840
2025-03-02,Organic Search,2159.445732643249,153,2601
2025-03-09,Google Ads,1309.4501276593173,153,2907
2025-03-09,Meta Ads,631.623521381153,119,2737
2025-03-09,Email,1427.6284994553598,482,9158
2025-03-09,Organic Search,1452.9225424787992,228,2280
2025-03-16,Google Ads,1478.07155061524,439,6585
2025-03-16,Meta Ads,1684.6027421241913,211,2532
2025-03-16,Email,1229.341352468673,287,3444
2025-03-16,Organic Search,1833.2341697587447,463,9723
2025-03-23,Google Ads,1645.2857062311691,375,6750
2025-03-23,Meta Ads,2108.191339267186,342,5130
2025-03-23,Email,2489.3683303929743,272,5440
2025-03-23,Organic Search,873.2798795953652,287,5166
2025-03-30,Google Ads,1069.0827713538674,151,3624
2025-03-30,Meta Ads,1734.2118888573125,441,8820
2025-03-30,Email,892.4914334123313,299,5681
2025-03-30,Organic Search,1547.1271590597116,214,4066
2025-04-06,Google Ads,1096.1513010496456,176,3696
2025-04-06,Meta Ads,2043.0241239969753,310,4960
2025-04-06,Email,2450.9460566280436,306,7344
2025-04-06,Organic Search,633.3877628108977,366,6954
2025-04-13,Google Ads,1091.3300785432384,110,1650
2025-04-13,Meta Ads,1546.4261099417497,374,5610
2025-04-13,Email,1004.6238541393741,329,3290
2025-04-13,Organic Search,1727.2758059787677,164,1968
2025-04-20,Google Ads,2119.8488406057986,151,2265
2025-04-20,Meta Ads,2287.270506692267,362,7240
2025-04-20,Email,2315.4708663550255,423,7614
2025-04-20,Organic Search,1900.8635983130077,457,10511
2025-04-27,Google Ads,1174.6056729349727,150,2100
2025-04-27,Meta Ads,1559.4279322167354,408,6936
2025-04-27,Email,2348.215431822559,368,6624
2025-04-27,Organic Search,2166.4087131933484,153,2754
2025-05-04,Google Ads,2433.095033104165,359,7180
2025-05-04,Meta Ads,2361.2849527039198,106,2438
2025-05-04,Email,1114.477923695441,447,6705
2025-05-04,Organic Search,1600.943554205881,378,4158
2025-05-11,Google Ads,1669.0862265189164,466,8388
2025-05-11,Meta Ads,1255.6784274543734,153,3366
2025-05-11,Email,1178.6105346191348,263,6049
2025-05-11,Organic Search,823.8460132644275,385,8085
2025-05-18,Google Ads,2495.498778020401,307,7061
2025-05-18,Meta Ads,1209.4571134604253,192,4224
2025-05-18,Email,730.2923567904022,316,3792
2025-05-18,Organic Search,500.3730563413262,146,2044
2025-05-25,Google Ads,1384.0668418622472,343,6517
2025-05-25,Meta Ads,622.892580261575,186,3348
2025-05-25,Email,2381.0079057588055,377,3770
2025-05-25,Organic Search,2409.1318577176216,268,5092
2025-06-01,Google Ads,1454.8323789607075,490,10780
2025-06-01,Meta Ads,722.4174946764374,407,4070
2025-06-01,Email,753.6480451008376,287,3157
2025-06-01,Organic Search,576.1726011986385,231,4620
2025-06-08,Google Ads,1896.3968613529996,359,3590
2025-06-08,Meta Ads,583.9281468872686,277,4986
2025-06-08,Email,697.188460483873,107,2354
2025-06-08,Organic Search,1008.5224628897291,391,4301
2025-06-15,Google Ads,1559.9406820428412,398,7960
2025-06-15,Meta Ads,1685.5418817403695,476,5236
2025-06-15,Email,844.1720649052529,115,1380
2025-06-15,Organic Search,802.8910438707146,286,6864
2025-06-22,Google Ads,1691.359648323059,116,1856
2025-06-22,Meta Ads,2379.1371780503314,138,2484
2025-06-22,Email,2156.877341877982,257,3855
2025-06-22,Organic Search,1453.6777554662488,207,4347
2025-06-29,Google Ads,2157.3058122365783,117,2223
2025-06-29,Meta Ads,1054.1384994267992,352,3520
2025-06-29,Email,1146.1994033326746,445,7120
2025-06-29,Organic Search,1151.3696041279063,489,7335
